id,cuisine
36920,southern_us
7861,chinese
29248,mexican
43142,cajun_creole
7574,vietnamese
8610,mexican
989,southern_us
46926,spanish
40816,vietnamese
39726,chinese
42229,jamaican
10474,chinese
22140,spanish
31985,british
46165,japanese
20860,russian
42494,russian
15968,irish
20484,korean
26661,korean
47182,vietnamese
22528,jamaican
3861,jamaican
1203,spanish
45040,moroccan
33287,southern_us
10097,mexican
42005,chinese
12423,vietnamese
39613,filipino
30276,filipino
18686,filipino
3031,jamaican
40093,mexican
182,chinese
46591,moroccan
4092,japanese
13722,southern_us
44575,filipino
14989,cajun_creole
13270,italian
25529,spanish
12140,moroccan
23127,cajun_creole
13523,spanish
41270,spanish
8362,irish
11735,brazilian
27935,irish
28198,mexican
37765,irish
33856,irish
30198,cajun_creole
42521,jamaican
21567,chinese
36995,cajun_creole
24967,thai
45002,jamaican
48925,chinese
36914,spanish
2280,jamaican
14729,chinese
4594,japanese
2237,cajun_creole
45631,chinese
2317,vietnamese
23079,spanish
29333,vietnamese
48066,french
15737,mexican
30580,chinese
1119,japanese
46336,filipino
5026,spanish
10749,jamaican
31020,moroccan
30805,brazilian
27653,korean
35060,vietnamese
39174,cajun_creole
49509,italian
31784,jamaican
31408,filipino
36029,filipino
11045,irish
6561,jamaican
26992,jamaican
31179,southern_us
35099,greek
11018,korean
17930,southern_us
21302,chinese
46352,indian
25132,japanese
7010,filipino
25850,jamaican
19601,mexican
7935,spanish
34994,chinese
25113,russian
45523,southern_us
34977,french
7124,jamaican
27514,jamaican
27178,chinese
47880,korean
29197,jamaican
16347,jamaican
20333,vietnamese
29112,italian
7510,filipino
13897,korean
35699,moroccan
20520,mexican
38920,thai
21775,filipino
37475,japanese
40131,filipino
1939,indian
48268,vietnamese
34815,korean
13797,spanish
39063,vietnamese
29064,chinese
26896,spanish
29477,jamaican
3352,vietnamese
4966,chinese
7316,jamaican
23879,mexican
16525,spanish
32843,jamaican
39574,spanish
32737,southern_us
44788,cajun_creole
28772,korean
34189,vietnamese
33719,spanish
25846,moroccan
1423,jamaican
4328,chinese
579,filipino
5219,filipino
2314,jamaican
31143,southern_us
13409,mexican
3281,mexican
15804,chinese
40835,russian
39262,korean
37013,cajun_creole
14807,southern_us
47956,cajun_creole
2580,mexican
13720,irish
23008,japanese
5951,cajun_creole
39312,chinese
6176,jamaican
17617,chinese
57,mexican
43422,cajun_creole
49403,chinese
44751,brazilian
21865,filipino
26584,southern_us
39355,korean
14038,brazilian
45396,filipino
49715,vietnamese
41515,chinese
30445,spanish
4090,spanish
17207,vietnamese
40376,spanish
19398,mexican
22347,korean
49671,mexican
40854,spanish
926,vietnamese
47919,chinese
20571,irish
18866,jamaican
48742,thai
14577,southern_us
29481,vietnamese
40996,spanish
34470,filipino
31147,vietnamese
35932,japanese
27221,spanish
48301,spanish
29925,vietnamese
48640,korean
22873,chinese
10565,cajun_creole
15509,spanish
37569,jamaican
13306,chinese
40474,chinese
15182,cajun_creole
8609,chinese
32168,japanese
1125,thai
25244,russian
46889,chinese
13841,greek
47135,moroccan
29036,indian
43533,chinese
41631,jamaican
22124,filipino
18836,spanish
35695,chinese
5141,british
41894,moroccan
4972,mexican
34195,chinese
14183,filipino
15188,irish
8734,spanish
30946,vietnamese
5588,filipino
49554,jamaican
1270,jamaican
1259,mexican
45986,filipino
22351,chinese
300,mexican
9278,italian
10021,mexican
17014,moroccan
40855,russian
18362,korean
16292,korean
29924,jamaican
47174,spanish
4856,korean
15417,irish
19875,jamaican
42228,moroccan
36264,chinese
14571,chinese
23496,chinese
43879,mexican
23431,jamaican
5499,irish
247,vietnamese
48795,cajun_creole
47113,korean
489,vietnamese
13036,korean
4838,spanish
40630,filipino
17576,spanish
29972,cajun_creole
8123,cajun_creole
35918,spanish
42669,vietnamese
24632,filipino
35740,vietnamese
45670,italian
28041,greek
46688,jamaican
10309,jamaican
15367,korean
30562,jamaican
47151,cajun_creole
47300,korean
31200,southern_us
5749,mexican
41807,chinese
13990,cajun_creole
23572,spanish
872,jamaican
38085,chinese
5248,jamaican
26309,jamaican
26880,vietnamese
41559,cajun_creole
8059,chinese
26041,mexican
30019,moroccan
7207,spanish
30309,jamaican
2092,jamaican
8023,korean
4016,mexican
24631,mexican
35068,jamaican
8523,mexican
28463,french
8629,spanish
43829,chinese
22129,southern_us
34505,greek
38200,vietnamese
36513,chinese
32187,filipino
7788,chinese
31130,brazilian
40483,jamaican
2224,filipino
14143,cajun_creole
22889,vietnamese
17406,korean
10451,japanese
19844,vietnamese
23416,jamaican
33874,mexican
39951,spanish
41361,mexican
44659,jamaican
8836,irish
21709,cajun_creole
22993,vietnamese
39191,russian
17182,chinese
20507,korean
42397,southern_us
18897,cajun_creole
3797,chinese
11041,brazilian
807,japanese
3514,spanish
12936,spanish
15050,southern_us
43377,filipino
10471,vietnamese
30721,mexican
14333,spanish
6260,chinese
7712,cajun_creole
19048,moroccan
21455,japanese
18575,southern_us
47647,spanish
35947,mexican
14499,chinese
43525,jamaican
5723,mexican
48497,vietnamese
43822,irish
525,southern_us
30594,mexican
47948,brazilian
2099,moroccan
43863,spanish
24711,mexican
15230,cajun_creole
21680,filipino
36218,filipino
41622,vietnamese
34809,cajun_creole
5110,filipino
27214,french
34803,chinese
36822,chinese
6912,vietnamese
20373,chinese
29157,chinese
6327,vietnamese
35502,chinese
8305,southern_us
35598,filipino
48538,filipino
49358,chinese
44506,mexican
39146,filipino
29270,southern_us
20560,jamaican
24169,southern_us
41537,irish
10431,spanish
31517,filipino
34049,japanese
26964,chinese
49655,indian
9101,jamaican
30377,spanish
7046,korean
47969,mexican
18971,chinese
38891,japanese
29506,thai
40305,filipino
21255,southern_us
15578,chinese
24894,mexican
32089,chinese
46097,southern_us
40982,chinese
12543,moroccan
38366,filipino
32925,spanish
17506,thai
48389,italian
41804,korean
9961,vietnamese
24939,filipino
39599,chinese
45838,vietnamese
48875,thai
25531,chinese
3009,filipino
31965,chinese
16901,russian
13370,cajun_creole
2954,filipino
40353,spanish
8207,thai
10933,korean
38206,korean
14110,mexican
19128,spanish
32616,filipino
27748,filipino
31858,jamaican
20510,vietnamese
17602,cajun_creole
35665,japanese
46589,filipino
8178,mexican
34880,mexican
42527,southern_us
29682,cajun_creole
32166,vietnamese
30343,italian
15385,southern_us
18372,vietnamese
29211,vietnamese
23269,korean
4561,mexican
27365,cajun_creole
49032,japanese
22064,japanese
12060,jamaican
47834,brazilian
25815,chinese
34036,korean
19326,japanese
44078,vietnamese
31090,cajun_creole
17485,filipino
708,chinese
5350,greek
29754,spanish
18309,spanish
46871,spanish
27300,british
41890,cajun_creole
49548,chinese
11392,spanish
1354,mexican
48819,jamaican
19097,chinese
42113,mexican
24060,spanish
25849,spanish
4543,spanish
25306,italian
41966,chinese
48719,moroccan
48191,korean
8826,filipino
42703,british
16083,filipino
26613,cajun_creole
28088,southern_us
39965,southern_us
36239,spanish
4322,moroccan
9951,irish
3045,filipino
28585,irish
39841,jamaican
25913,mexican
39715,korean
23135,mexican
47022,british
24160,italian
18619,spanish
12574,korean
22681,vietnamese
33692,vietnamese
538,filipino
22118,japanese
21890,french
36340,spanish
27973,chinese
12870,korean
22564,korean
35063,cajun_creole
7000,jamaican
11318,moroccan
47001,greek
11395,korean
23507,korean
47242,irish
48957,spanish
17721,chinese
25138,jamaican
47438,spanish
47162,chinese
42459,jamaican
6486,filipino
24116,cajun_creole
31596,spanish
38887,filipino
10665,spanish
13712,filipino
2633,irish
35784,irish
45204,spanish
46722,jamaican
34949,italian
35321,spanish
46430,jamaican
34431,filipino
30890,british
42132,filipino
15702,chinese
47719,jamaican
45160,irish
20600,chinese
10800,spanish
30479,southern_us
9457,spanish
26571,cajun_creole
42942,spanish
36635,chinese
43617,korean
16911,vietnamese
122,cajun_creole
22340,jamaican
37007,cajun_creole
23595,jamaican
25233,spanish
5503,cajun_creole
47338,vietnamese
44695,filipino
7141,chinese
14564,cajun_creole
19655,jamaican
35326,filipino
35922,spanish
28171,spanish
1322,southern_us
14923,vietnamese
42344,chinese
16380,spanish
15233,jamaican
8338,chinese
41014,chinese
30440,vietnamese
23043,chinese
20788,vietnamese
14375,jamaican
1184,filipino
34280,irish
46171,spanish
31834,korean
14759,southern_us
15855,filipino
6662,spanish
15056,british
34873,jamaican
20089,russian
20015,spanish
18402,greek
6418,jamaican
1454,chinese
14070,chinese
26424,chinese
27349,moroccan
26459,japanese
13151,chinese
12264,spanish
18366,mexican
46851,japanese
18954,vietnamese
39858,vietnamese
43500,southern_us
21656,spanish
10505,chinese
5313,jamaican
28951,korean
19961,greek
1795,italian
9917,jamaican
26180,mexican
9726,filipino
47689,filipino
7866,chinese
41625,spanish
35160,spanish
4430,chinese
39082,jamaican
46186,cajun_creole
11988,moroccan
24177,chinese
31849,vietnamese
41194,mexican
36968,vietnamese
42330,chinese
36791,mexican
19704,mexican
4933,cajun_creole
4255,spanish
37105,mexican
35848,filipino
17416,southern_us
39066,southern_us
36270,vietnamese
24406,greek
20517,chinese
27630,mexican
19670,irish
4685,spanish
45260,chinese
378,korean
40841,jamaican
27632,japanese
12193,chinese
38047,thai
10170,jamaican
25043,korean
23851,southern_us
14743,japanese
13294,vietnamese
26466,korean
32002,irish
37526,vietnamese
8888,spanish
38945,vietnamese
38546,irish
38869,chinese
10556,vietnamese
3296,chinese
25977,cajun_creole
32025,filipino
44087,irish
32762,mexican
824,chinese
44636,irish
542,vietnamese
38218,chinese
41930,cajun_creole
1987,chinese
37378,southern_us
8873,irish
1513,korean
44013,chinese
38042,moroccan
11576,spanish
24510,korean
823,mexican
23443,japanese
34870,filipino
3846,chinese
14993,spanish
16854,spanish
5886,spanish
33793,chinese
2999,jamaican
20843,spanish
29153,vietnamese
33790,moroccan
16516,mexican
37887,chinese
18466,cajun_creole
48033,french
45404,filipino
4175,mexican
31986,chinese
38555,moroccan
26832,vietnamese
19810,thai
49086,jamaican
39579,chinese
25551,southern_us
42549,moroccan
22052,irish
45632,british
4143,moroccan
11310,spanish
32839,japanese
48171,korean
22896,vietnamese
10878,mexican
31643,japanese
47624,vietnamese
35141,southern_us
13498,vietnamese
24566,chinese
16533,irish
15437,mexican
19426,mexican
32416,vietnamese
2427,cajun_creole
9178,chinese
40606,italian
28450,korean
7946,spanish
21756,mexican
17843,japanese
44066,italian
7427,chinese
11297,irish
42965,irish
23067,filipino
35066,cajun_creole
27938,vietnamese
39075,spanish
20200,brazilian
19823,irish
12336,chinese
34714,spanish
45388,greek
25639,mexican
33985,jamaican
25524,vietnamese
19641,french
11106,cajun_creole
22165,southern_us
35412,spanish
23475,japanese
1570,spanish
12815,chinese
37253,moroccan
16900,cajun_creole
7701,jamaican
49391,mexican
1132,spanish
13051,vietnamese
2284,chinese
21410,british
25604,mexican
45746,korean
35911,spanish
26608,japanese
16991,jamaican
40657,mexican
47960,spanish
38408,jamaican
1295,thai
40139,korean
38538,chinese
26420,spanish
10326,thai
5181,spanish
18210,moroccan
3241,spanish
27062,chinese
41527,moroccan
45484,cajun_creole
38755,chinese
47246,mexican
164,cajun_creole
723,vietnamese
299,jamaican
1519,mexican
34077,japanese
45254,filipino
34760,jamaican
11154,thai
26274,mexican
15081,irish
45100,spanish
1417,cajun_creole
32083,spanish
29971,spanish
17679,chinese
36539,spanish
34975,moroccan
4633,chinese
10321,mexican
35565,irish
26919,chinese
9549,irish
31863,mexican
22053,mexican
19443,french
18540,spanish
23354,mexican
13859,spanish
23904,cajun_creole
6675,british
18595,southern_us
12967,chinese
17283,italian
23211,chinese
14358,vietnamese
31398,vietnamese
42650,spanish
25258,chinese
18457,spanish
11810,moroccan
9499,southern_us
11943,chinese
6810,mexican
34323,brazilian
23296,japanese
45927,mexican
45196,filipino
19917,japanese
20210,spanish
41629,chinese
39907,spanish
4956,chinese
37058,spanish
20859,chinese
3315,spanish
4401,chinese
21361,spanish
44164,jamaican
26391,cajun_creole
47771,vietnamese
44140,mexican
43739,moroccan
12481,irish
12292,thai
15965,cajun_creole
23409,vietnamese
39005,korean
2774,chinese
14529,korean
16926,spanish
26890,filipino
9663,jamaican
43052,japanese
24193,jamaican
5476,chinese
10048,spanish
1981,cajun_creole
12194,jamaican
22202,filipino
7626,cajun_creole
37365,mexican
44144,filipino
37723,chinese
47194,jamaican
30827,spanish
33108,filipino
2075,greek
6326,chinese
11083,mexican
30311,korean
45371,moroccan
18232,chinese
9768,japanese
6648,jamaican
35650,spanish
23013,spanish
6669,southern_us
42670,mexican
18155,southern_us
44622,cajun_creole
28426,japanese
23743,vietnamese
14176,mexican
9576,vietnamese
36577,southern_us
16671,mexican
22964,vietnamese
16424,cajun_creole
47225,spanish
17565,southern_us
36401,mexican
30314,spanish
32982,moroccan
21866,cajun_creole
1475,mexican
13053,spanish
33983,southern_us
24051,british
22800,irish
16561,vietnamese
2740,russian
219,thai
48737,jamaican
2164,korean
13579,vietnamese
71,vietnamese
12420,chinese
35209,spanish
11472,spanish
43172,chinese
24927,filipino
37102,korean
10743,italian
27874,greek
9565,filipino
21419,spanish
767,korean
28308,vietnamese
37605,spanish
9558,jamaican
31527,irish
2419,japanese
7541,vietnamese
11400,mexican
23487,chinese
8087,jamaican
21906,italian
48830,cajun_creole
37328,jamaican
45490,chinese
9710,cajun_creole
16153,mexican
39537,southern_us
13923,chinese
8120,chinese
12923,greek
1556,mexican
6871,vietnamese
34201,italian
36146,italian
33170,southern_us
20082,thai
26517,jamaican
15214,spanish
34092,mexican
40902,filipino
44452,indian
2083,chinese
44897,mexican
17850,jamaican
26693,mexican
19618,chinese
35589,jamaican
46084,filipino
17256,mexican
47570,mexican
32796,chinese
27047,mexican
39487,southern_us
130,thai
17627,mexican
29072,jamaican
1108,chinese
22666,filipino
41630,japanese
27289,spanish
42299,spanish
36078,irish
7098,jamaican
46999,jamaican
28791,vietnamese
39576,chinese
2447,filipino
22449,italian
23828,cajun_creole
5660,filipino
47460,japanese
17912,chinese
12288,vietnamese
44037,french
20875,irish
6500,korean
13813,vietnamese
4907,spanish
38186,irish
9816,chinese
8170,filipino
21681,spanish
42384,jamaican
35366,british
34244,irish
35421,mexican
33457,filipino
28026,filipino
38122,irish
21362,southern_us
42253,vietnamese
21994,mexican
34457,greek
40229,southern_us
10181,mexican
38257,cajun_creole
40992,cajun_creole
15617,italian
34754,mexican
45459,mexican
31295,spanish
44977,jamaican
18322,korean
23257,spanish
10084,brazilian
16445,moroccan
10594,chinese
26828,cajun_creole
47643,chinese
49680,jamaican
27446,russian
8731,filipino
37341,cajun_creole
42241,korean
13669,jamaican
21403,mexican
688,spanish
23894,spanish
35753,southern_us
44692,southern_us
235,filipino
20982,moroccan
10166,spanish
2187,filipino
5022,jamaican
49037,filipino
44478,cajun_creole
8912,vietnamese
8919,spanish
23856,chinese
14647,british
48870,greek
14377,filipino
18548,chinese
39591,jamaican
46746,spanish
31926,spanish
10159,vietnamese
11342,korean
32421,greek
19969,cajun_creole
3029,southern_us
39565,cajun_creole
7426,vietnamese
20624,vietnamese
4385,jamaican
18761,spanish
46710,korean
46241,southern_us
14208,british
29323,vietnamese
40663,jamaican
32391,vietnamese
9506,vietnamese
35402,vietnamese
48796,mexican
4657,chinese
2404,moroccan
36923,chinese
41762,irish
19344,greek
19876,mexican
39452,southern_us
19209,vietnamese
35461,vietnamese
5784,moroccan
40345,chinese
24765,spanish
25563,southern_us
40680,greek
36932,vietnamese
28106,vietnamese
12717,spanish
40100,vietnamese
6960,italian
20724,korean
24433,spanish
32118,korean
22353,russian
23040,vietnamese
46246,mexican
36642,chinese
21579,chinese
24073,chinese
16775,vietnamese
24732,irish
24221,chinese
33300,moroccan
34971,korean
19777,cajun_creole
24337,vietnamese
24709,japanese
28557,cajun_creole
8963,greek
31515,jamaican
22575,southern_us
11011,japanese
42030,russian
48012,vietnamese
13623,korean
49552,cajun_creole
5702,chinese
3847,spanish
34221,chinese
4312,southern_us
35834,moroccan
11849,vietnamese
38290,filipino
3064,chinese
30099,italian
37354,southern_us
27877,mexican
45642,vietnamese
10629,cajun_creole
17557,chinese
3725,spanish
49507,chinese
5560,vietnamese
42239,filipino
29559,mexican
46028,filipino
26523,spanish
28313,filipino
32502,jamaican
43610,chinese
35563,spanish
22160,spanish
11258,vietnamese
36220,korean
15974,jamaican
30449,filipino
29676,southern_us
29951,japanese
2268,southern_us
36813,mexican
28096,vietnamese
40471,irish
6545,british
33598,moroccan
22338,vietnamese
41918,korean
2133,vietnamese
42259,chinese
11056,chinese
7034,spanish
17040,filipino
35238,southern_us
46155,chinese
23356,filipino
3909,jamaican
22107,vietnamese
1656,jamaican
9302,filipino
19473,irish
13566,jamaican
23424,jamaican
4139,spanish
15970,filipino
47732,brazilian
37251,jamaican
44870,thai
9773,irish
2131,spanish
6381,spanish
9613,cajun_creole
47364,japanese
34376,cajun_creole
26408,moroccan
4763,french
18982,spanish
2766,vietnamese
19247,chinese
13462,chinese
19678,italian
22814,chinese
18582,southern_us
3124,jamaican
19347,filipino
8812,cajun_creole
22037,mexican
15423,chinese
35960,spanish
49336,cajun_creole
1255,southern_us
17646,filipino
20631,irish
19492,mexican
22895,jamaican
18607,jamaican
34569,vietnamese
48356,vietnamese
12252,southern_us
21071,vietnamese
22458,jamaican
19585,jamaican
15597,jamaican
15038,jamaican
20028,spanish
29764,mexican
17206,spanish
40901,thai
37954,chinese
16933,vietnamese
42657,spanish
21846,chinese
33834,filipino
25873,spanish
5938,mexican
34762,chinese
39835,korean
5805,moroccan
13914,greek
45924,moroccan
41460,chinese
37287,filipino
25059,mexican
34872,mexican
7524,chinese
10427,korean
8014,chinese
14740,spanish
24329,filipino
38514,korean
12665,thai
24655,spanish
7078,chinese
15995,cajun_creole
15861,greek
30662,spanish
17836,spanish
2078,jamaican
3600,mexican
46302,cajun_creole
28375,jamaican
34839,thai
18345,vietnamese
23205,spanish
34763,mexican
26692,southern_us
10317,thai
11767,spanish
36881,mexican
33468,jamaican
20669,jamaican
18159,irish
22891,korean
39588,chinese
35941,chinese
15981,chinese
26013,chinese
5076,chinese
1573,korean
39380,irish
13845,jamaican
35146,jamaican
32924,chinese
9567,japanese
35203,chinese
39666,irish
17786,korean
21936,mexican
8668,jamaican
41339,jamaican
32268,chinese
29706,irish
42032,filipino
8105,jamaican
11218,irish
7159,southern_us
47817,irish
1572,spanish
38720,filipino
14780,spanish
31839,irish
6501,spanish
39533,jamaican
22820,filipino
9619,chinese
14025,cajun_creole
19697,irish
5370,jamaican
32639,chinese
15249,vietnamese
47776,southern_us
48134,cajun_creole
24141,chinese
4117,chinese
20578,jamaican
47585,jamaican
20326,mexican
43932,jamaican
29704,chinese
12447,vietnamese
38117,chinese
2684,southern_us
25371,mexican
25518,korean
27083,russian
16073,moroccan
45667,southern_us
44188,cajun_creole
44888,filipino
41594,cajun_creole
1061,filipino
6536,mexican
31586,chinese
9792,spanish
40395,japanese
24861,mexican
32253,filipino
31082,filipino
19298,korean
6600,irish
46939,spanish
6092,chinese
36600,italian
45979,jamaican
46910,spanish
14174,italian
10609,vietnamese
28647,jamaican
19066,moroccan
16803,moroccan
49114,cajun_creole
14664,spanish
39670,jamaican
4583,chinese
31121,filipino
12589,filipino
22551,jamaican
11817,korean
22003,spanish
42091,korean
45966,brazilian
6811,jamaican
2711,filipino
44757,mexican
5349,southern_us
30294,moroccan
48944,jamaican
44048,korean
411,chinese
44998,japanese
18078,japanese
48533,vietnamese
16485,vietnamese
32939,italian
11808,filipino
23059,chinese
16466,vietnamese
7315,jamaican
13178,filipino
2751,moroccan
41395,vietnamese
20534,jamaican
12111,chinese
38708,chinese
37481,vietnamese
28048,spanish
13123,chinese
2174,chinese
17190,spanish
25756,mexican
38180,moroccan
26892,spanish
23757,japanese
8553,french
36272,japanese
35224,filipino
5203,jamaican
23565,moroccan
31420,chinese
43491,jamaican
38773,vietnamese
15223,filipino
17763,jamaican
24528,japanese
21704,jamaican
45329,mexican
48876,italian
3741,vietnamese
47710,irish
9182,mexican
13782,italian
3369,korean
11985,italian
39817,vietnamese
26869,vietnamese
37461,cajun_creole
24217,irish
2474,filipino
45929,italian
12768,jamaican
924,southern_us
13258,jamaican
7955,irish
37056,chinese
17934,filipino
5843,southern_us
46881,cajun_creole
4049,mexican
24173,jamaican
4683,vietnamese
32612,japanese
11314,chinese
13550,mexican
2483,cajun_creole
9573,spanish
34113,vietnamese
37865,chinese
36951,brazilian
4703,moroccan
10734,filipino
40444,southern_us
44334,jamaican
35991,spanish
34020,southern_us
3743,chinese
18305,chinese
7877,spanish
10606,japanese
30584,vietnamese
9266,cajun_creole
35196,filipino
41070,vietnamese
25930,korean
48564,jamaican
14213,cajun_creole
6618,spanish
18479,filipino
10279,cajun_creole
30750,filipino
45701,filipino
22947,korean
6467,italian
16365,mexican
7184,filipino
23270,italian
41805,spanish
7537,japanese
18616,greek
42857,cajun_creole
37906,filipino
16846,jamaican
573,chinese
26657,jamaican
12408,filipino
38232,spanish
33447,british
40227,chinese
35760,southern_us
1385,irish
47866,spanish
30871,jamaican
22604,japanese
39397,southern_us
38782,cajun_creole
45343,filipino
26112,mexican
10209,filipino
31702,greek
37943,vietnamese
23471,spanish
3529,korean
46794,moroccan
16626,southern_us
32361,korean
20932,vietnamese
11183,jamaican
33661,mexican
12681,mexican
2450,cajun_creole
23979,russian
18465,italian
28234,irish
47449,chinese
33869,chinese
4924,chinese
18862,filipino
30556,cajun_creole
35762,british
7396,spanish
21232,spanish
18299,french
35468,italian
42838,mexican
33972,chinese
46021,mexican
1627,irish
28873,italian
38927,mexican
25262,korean
19152,italian
11061,jamaican
27000,vietnamese
37396,japanese
47358,southern_us
47825,spanish
24681,spanish
37706,jamaican
44056,filipino
38298,spanish
30788,spanish
36144,irish
21792,spanish
31745,chinese
15104,irish
30589,thai
14235,korean
2608,filipino
34828,irish
3282,mexican
4336,jamaican
25666,southern_us
17831,spanish
17008,cajun_creole
35845,spanish
19494,chinese
30797,mexican
33763,mexican
19950,jamaican
23089,jamaican
32074,chinese
49640,vietnamese
8403,chinese
15879,vietnamese
7949,moroccan
31483,korean
32928,japanese
27647,southern_us
34616,spanish
21113,chinese
41599,filipino
23924,chinese
36335,southern_us
36194,cajun_creole
10980,mexican
45999,vietnamese
3943,chinese
188,chinese
5799,spanish
20964,italian
2716,chinese
5464,cajun_creole
17640,spanish
39437,vietnamese
14835,korean
3094,british
14826,spanish
30173,irish
37811,chinese
22363,korean
6369,jamaican
26850,mexican
48887,chinese
44405,filipino
21477,vietnamese
32697,moroccan
38843,moroccan
20076,chinese
26429,mexican
35648,moroccan
41794,mexican
22100,spanish
30216,cajun_creole
17656,filipino
17317,filipino
4928,spanish
43965,italian
6404,cajun_creole
12274,vietnamese
6651,spanish
40406,irish
40933,jamaican
23419,mexican
37867,mexican
28834,chinese
23912,vietnamese
4791,mexican
36354,japanese
32298,russian
44577,korean
48859,japanese
32485,moroccan
8394,irish
7708,chinese
38385,jamaican
22622,japanese
29716,filipino
44462,mexican
9422,chinese
22499,chinese
36,irish
434,chinese
5479,mexican
42420,southern_us
47346,filipino
44568,irish
38650,filipino
19191,chinese
22848,jamaican
17886,spanish
6036,jamaican
38608,jamaican
12890,japanese
15709,jamaican
13125,chinese
48454,mexican
36627,cajun_creole
47884,chinese
28,filipino
45365,southern_us
40795,korean
17651,jamaican
1530,vietnamese
17604,japanese
4700,vietnamese
24972,southern_us
23525,spanish
7092,spanish
43757,southern_us
4808,mexican
7249,italian
27589,chinese
47523,jamaican
44244,filipino
10383,japanese
37285,filipino
21332,korean
7311,filipino
28052,spanish
31653,cajun_creole
1740,spanish
5484,vietnamese
41406,southern_us
41907,russian
46515,japanese
38392,spanish
15925,jamaican
5094,cajun_creole
31816,spanish
35713,jamaican
31296,spanish
41640,spanish
22419,moroccan
47874,vietnamese
6570,russian
6936,vietnamese
34063,chinese
34141,spanish
44572,irish
28425,russian
38481,mexican
18955,chinese
46466,vietnamese
5692,filipino
39836,moroccan
33718,moroccan
36250,spanish
286,spanish
29766,spanish
20541,british
31173,filipino
46440,chinese
23905,jamaican
37232,jamaican
8517,spanish
21249,irish
32700,filipino
22845,mexican
45461,chinese
1307,british
30010,spanish
21646,chinese
28148,chinese
26450,vietnamese
16602,spanish
9928,jamaican
27063,jamaican
22273,jamaican
12744,filipino
28272,brazilian
30350,filipino
23362,mexican
13645,british
16942,southern_us
34970,vietnamese
27829,italian
38058,chinese
13256,cajun_creole
31859,russian
43027,russian
22235,chinese
2933,chinese
45981,russian
11460,filipino
33770,spanish
24399,chinese
8006,cajun_creole
48885,chinese
42585,spanish
40160,vietnamese
45541,korean
22410,filipino
26226,korean
4591,cajun_creole
5457,moroccan
39085,russian
24040,mexican
6576,japanese
34310,filipino
27350,chinese
9968,vietnamese
2464,filipino
27952,chinese
43388,moroccan
33143,greek
28083,vietnamese
15927,filipino
10255,irish
8011,jamaican
5195,chinese
36015,korean
40910,chinese
11309,cajun_creole
47556,russian
27958,chinese
27198,mexican
643,spanish
40853,moroccan
15815,japanese
2063,filipino
19827,italian
33443,mexican
44632,japanese
26773,vietnamese
